time,GHB_2_6_10,GHB_3_6_10,ESTUARY2,ESTUARY3
1.000000000000,-282.9918917910682,-6055.070383924190,-2764.847004680752,-72112.02171100091
1.083333333333,-307.3283491942036,-7011.210088999913,-3130.655003225461,-86500.23273400604
1.166666666667,-288.1813687639408,-5964.111164673015,-2843.451786694343,-70827.45876497631
1.250000000000,-266.5141786817525,-5239.734039714453,-2517.906685191606,-59976.47339879591
1.333333333333,-260.9704025245285,-5310.754516561620,-2434.361300658008,-61047.27256673089
1.416666666667,-278.8259635181116,-6176.821350361214,-2702.476277095242,-74043.55754998639
1.500000000000,-301.5874723209405,-6925.669007932156,-3044.632473174882,-85283.29213027291
1.583333333333,-309.2172213926648,-6916.392779526559,-3159.637766231392,-85149.73756536689
1.666666666667,-292.3219081520517,-6055.864521548293,-2906.057251313439,-72241.85594959572
1.750000000000,-266.9634870144471,-5181.659930394464,-2524.971646418168,-59123.48097916738
1.833333333333,-257.0163953441564,-5121.423911840813,-2375.185046483964,-58214.07009176144
1.916666666667,-271.7946379158439,-5931.898863603214,-2596.976738871611,-70369.79898209452
2.000000000000,-295.8555326213368,-6791.353992898489,-2958.583971172955,-83265.09394414160
2.083333333333,-307.0945293784078,-6931.185259127249,-3127.812507791609,-85366.67738073695
2.166666666667,-294.5036347404545,-6202.843247789694,-2938.954970205517,-74441.39419615541
2.250000000000,-272.0029777626296,-5379.352117879598,-2600.888282736266,-62083.98444108828
2.333333333333,-259.8528380349903,-5177.326967164368,-2418.079718116260,-59047.32794266530
2.416666666667,-272.0889822804746,-5893.419216952239,-2601.689884277966,-69786.31920998078
2.500000000000,-295.5150203249740,-6757.307450057880,-2953.740209055906,-82747.11619653969
2.583333333333,-309.7606786113537,-7032.131599864462,-3168.130125327060,-86873.37065821681
2.666666666667,-299.3094145647573,-6358.472939532368,-3011.457572941407,-76768.52804662668
2.750000000000,-273.8813134156714,-5385.040140959082,-2629.455745253263,-62161.50455705045
2.833333333333,-256.9533551312747,-5017.197041704934,-2374.851220028763,-56636.22435210720
2.916666666667,-265.5425692638190,-5652.182009897122,-2503.608675560678,-66156.90991796367
3.000000000000,-289.2710835039779,-6592.188687435269,-2860.138625213220,-80258.32681804514
3.083333333333,-306.5810294931710,-7007.618424050803,-3120.557071979429,-86493.32676513294
3.166666666667,-300.1516576329230,-6465.729142982465,-3024.352101968273,-78365.40566287666
3.250000000000,-278.2572530529750,-5576.961026216642,-2695.513691857999,-65029.10970702563
3.333333333333,-260.9599181240010,-5134.524212008408,-2435.436008922939,-58385.23464619374
